OverallQual,TotalBsmtSF,CentralAir,GrLivArea,SalePrice
10,1107,Y,3608,475000
7,1188,Y,1217,173000
5,660,Y,1656,135000
5,1086,Y,1224,153337
8,1593,Y,1593,286000
8,853,Y,2727,315000
7,725,Y,1479,184000
7,1431,Y,1431,192000
7,970,Y,1709,130000
5,864,Y,864,127000
6,855,Y,1456,148500
7,1726,Y,1726,311872
8,1360,Y,3112,235000
6,755,Y,2229,104000
8,1713,Y,1713,274900
4,1121,Y,1121,140000
6,1196,Y,1279,171500
6,617,Y,1310,112000
6,848,Y,848,149000
5,720,Y,1284,110000
7,1424,Y,1442,180500
5,1140,Y,1696,143900
4,1100,Y,1100,141000
7,1157,Y,2062,277000
6,1092,Y,1092,145000
5,864,N,864,98000
6,1212,Y,1212,186000
7,900,Y,1852,252678
5,990,Y,990,156000
6,689,Y,1392,161750
5,1070,Y,1236,134450
7,1436,Y,1436,210000
4,686,N,1328,107000
7,798,Y,1954,311500
7,1248,Y,1248,167240
7,1498,Y,1498,204900
6,1010,Y,2267,200000
6,713,Y,1552,179900
4,864,Y,864,97000
10,2392,Y,2392,386250
5,630,Y,1302,112000
7,1203,Y,2520,290000
6,483,Y,987,106000
5,912,Y,912,125000
7,1373,Y,1555,192500
6,1194,Y,1194,148000
8,1462,Y,2794,403000
6,483,Y,987,94500
5,894,Y,894,128200
6,860,Y,1960,216500
6,483,Y,987,89500
7,1414,Y,1414,185500
7,996,Y,1744,194500
8,1694,Y,1694,318000
6,735,Y,1487,113000
8,1566,Y,1566,262500
5,686,Y,866,110500
5,540,N,1440,79000
6,626,Y,1217,120000
7,948,Y,2110,205000
7,1845,Y,1872,241500
6,1020,N,1928,137000
6,1367,Y,1375,140000
7,840,Y,1668,180000
6,1444,Y,2144,277000
3,728,Y,1306,76500
8,1573,Y,1625,235000
6,798,Y,1640,173000
6,1302,Y,1302,158000
5,1314,Y,1314,145000
7,975,Y,2291,230000
6,864,Y,1728,207500
7,1604,Y,1604,220000
7,963,Y,1792,231500
5,0,Y,882,97000
6,1362,Y,1382,176000
8,1482,Y,2574,276000
6,506,Y,1212,151000
5,926,Y,1316,130000
5,680,N,764,73000
6,1422,Y,1422,175500
6,802,Y,1511,185000
5,720,Y,2192,179500
5,740,Y,778,120500
6,1143,Y,1113,148000
8,1095,Y,1939,266000
7,1385,Y,1363,241500
8,1152,Y,2270,290000
6,1240,Y,1632,139000
5,816,Y,816,124500
7,952,N,1548,205000
7,1560,Y,1560,201000
4,864,Y,864,141000
9,2121,Y,2121,415298
7,1160,Y,2022,192000
7,807,Y,1982,228500
6,1262,Y,1262,185000
7,1314,Y,1314,207500
8,1468,Y,1468,244600
6,1575,Y,1575,179200
7,625,Y,1250,164700
6,912,Y,1734,159000
4,858,Y,858,88000
5,882,Y,900,122000
6,698,Y,1396,153575
8,1079,Y,1919,233230
5,780,N,1716,135900
5,768,Y,1716,131000
7,795,Y,2263,235000
6,1416,Y,1644,167000
6,1003,Y,1003,142500
5,910,Y,1558,152000
7,975,Y,1950,239000
6,702,Y,1743,175000
6,1092,Y,1152,158500
5,1165,Y,1336,157000
8,1028,Y,2452,267000
7,1541,Y,1541,205000
5,894,Y,894,149900
7,1470,Y,3493,295000
8,2000,Y,2000,305900
7,700,Y,2243,225000
6,319,Y,1406,89500
4,861,Y,861,82500
9,1896,Y,1944,360000
6,697,Y,1501,165600
6,972,Y,972,132000
5,793,Y,1118,119900
7,2136,Y,2036,375000
7,728,Y,1641,178000
7,716,Y,1432,188500
7,845,Y,2353,260000
8,1088,Y,1959,270000
7,1347,Y,2646,260000
7,1372,Y,1472,187500
9,1249,Y,2596,342643
8,1136,Y,2468,354000
7,1502,Y,2730,301000
3,1162,Y,1163,126175
7,710,Y,2978,242000
5,720,N,803,87000
8,1719,Y,1719,324000
6,1383,Y,1383,145250
6,844,N,2134,214500
5,596,N,1192,78000
5,1728,Y,1728,119000
5,1056,Y,1056,139000
8,3206,Y,1629,284000
7,1358,Y,1358,207000
6,943,Y,1638,192000
5,1499,Y,1786,228950
9,1922,Y,1922,377426
7,1536,Y,1536,214000
7,1208,Y,1621,202500
6,1215,Y,1215,155000
8,967,Y,1908,202900
4,721,Y,841,82000
3,0,N,1040,87500
9,1684,Y,1684,266000
5,536,Y,1112,85000
6,972,Y,1577,140200
6,958,Y,958,151500
6,1478,Y,1478,157500
7,764,Y,1626,154000
9,1848,Y,2728,437154
9,1869,Y,1869,318061
7,1453,Y,1453,190000
5,616,N,1111,95000
6,624,Y,720,105900
6,940,Y,1595,140000
6,1200,Y,1200,177500
6,1158,Y,1167,173000
5,1142,Y,1142,134000
5,1062,Y,1352,130000
8,1086,Y,1924,280000
6,888,Y,912,156000
5,883,Y,1505,145000
7,0,Y,1922,198500
6,483,Y,987,118000
6,796,Y,1574,190000
5,672,Y,1344,147000
6,1394,Y,1394,159000
6,1099,Y,1431,165000
5,1268,Y,1268,132000
5,1063,Y,1287,162000
6,953,Y,1664,172400
4,0,Y,1588,134432
6,744,Y,752,125000
5,608,Y,1319,123000
7,847,Y,1928,219500
1,683,N,904,61000
5,870,Y,914,148000
8,1580,Y,2466,340000
9,1856,Y,1856,394432
6,982,Y,1800,179000
5,1026,Y,1691,127000
7,1293,Y,1301,187750
7,939,Y,1797,213500
6,784,N,784,76000
6,1580,Y,1953,240000
8,1256,Y,1269,192000
5,658,Y,1184,81000
6,1041,Y,1125,125000
7,1468,Y,1479,191000
10,1682,Y,2332,426000
5,861,Y,1367,119000
6,804,Y,1961,215000
5,0,Y,882,106500
4,788,Y,788,100000
5,735,Y,1034,109000
5,1144,Y,1144,129000
5,894,Y,894,123000
5,864,Y,1812,169500
5,961,Y,1077,67000
7,1092,Y,1550,241000
8,1260,Y,1288,245500
7,1310,Y,1310,164990
5,672,Y,672,108000
8,1141,Y,2263,258000
6,806,Y,1572,168000
4,1281,Y,1620,150000
6,1064,Y,1639,115000
6,840,Y,1680,177000
7,1063,Y,2172,280000
8,1034,Y,2078,339750
5,1276,Y,1276,60000
5,1056,N,1056,145000
7,1470,Y,1478,222000
5,1008,Y,1028,115000
7,1080,Y,2097,228000
7,1340,Y,1340,181134
6,672,Y,1400,149500
6,1370,N,2624,239000
5,756,N,1134,126000
5,1056,Y,1056,142000
7,1344,Y,1344,206300
6,1602,Y,1602,215000
5,988,Y,988,113000
8,1470,Y,2630,315000
6,1196,Y,1196,139000
7,651,Y,1389,135000
7,1518,Y,1644,275000
4,907,Y,907,109008
7,1208,Y,1208,195400
6,1392,Y,1412,175000
6,483,Y,987,85400
6,901,Y,1198,79900
5,765,Y,1365,122500
6,926,Y,1604,181000
4,630,Y,630,81000
7,799,Y,1661,212000
6,648,Y,1118,116000
6,884,Y,904,119000
5,440,N,694,90350
6,684,Y,1196,110000
10,3094,Y,2402,555000
4,1440,N,1440,118000
5,1078,Y,1573,162900
7,1258,Y,1258,172500
7,915,Y,1908,210000
6,1436,Y,1689,127500
6,1517,Y,1888,190000
7,930,Y,1886,199900
6,780,Y,1376,119500
3,649,Y,1183,120000
6,813,Y,813,110000
7,1533,Y,1533,280000
6,872,Y,1756,204000
8,768,Y,1590,210000
5,1728,Y,1728,188000
7,1242,Y,1242,175500
5,624,N,1344,98000
4,1364,Y,1663,256000
8,588,Y,1666,161000
5,709,Y,1203,110000
8,832,Y,1935,263435
7,560,Y,1135,155000
5,864,Y,864,62383
6,715,Y,1660,188700
5,1040,Y,1040,124000
7,1375,Y,1414,178740
7,1277,Y,1277,167000
5,728,Y,1644,146500
8,1626,Y,1634,250000
6,832,Y,1710,187000
8,1488,Y,1502,212000
7,808,Y,1969,190000
6,547,Y,1072,148000
8,1976,Y,1976,440000
8,1494,Y,1652,251000
5,970,Y,970,132500
6,1478,Y,1493,208900
9,2153,Y,2643,380000
8,1705,Y,1718,297000
4,907,Y,1131,89471
9,1833,Y,1850,326000
9,1792,Y,1792,374000
7,910,Y,1826,155000
6,1216,Y,1216,164000
5,999,Y,999,132500
5,1113,Y,1113,147000
5,1073,Y,1073,156000
5,1484,Y,1484,175000
5,954,N,2414,160000
4,630,Y,630,86000
5,264,Y,1304,115000
6,806,Y,1578,133000
6,728,Y,1456,172785
5,1269,Y,1269,155000
5,190,Y,886,91300
4,720,N,720,34900
8,3200,Y,3228,430000
7,1026,Y,1820,184000
5,864,Y,899,130000
5,912,Y,912,120000
6,672,Y,1218,113000
7,866,Y,1768,226700
5,1214,Y,1214,140000
7,1501,Y,1801,289000
6,855,Y,1322,147000
5,960,Y,1960,124500
8,777,Y,1911,215000
6,1218,Y,1218,208300
7,689,Y,1378,161000
5,1041,Y,1041,124500
5,1008,Y,1363,164900
7,1368,Y,1368,202665
5,864,Y,864,129900
6,1084,Y,1080,134000
5,768,N,789,96500
10,2006,Y,2020,402861
6,689,Y,2119,158000
7,1264,Y,2344,265000
6,794,Y,1796,211000
7,1276,Y,2080,234000
4,0,N,1294,106250
6,1244,Y,1244,150000
6,1004,Y,1664,159000
10,3138,Y,4676,184750
7,1379,Y,2398,315750
7,1257,Y,1266,176000
5,928,Y,928,132000
9,1452,Y,2713,446261
4,528,Y,605,86000
6,2035,Y,2515,200624
6,1461,Y,1509,175000
6,611,Y,1362,128000
5,0,Y,827,107500
1,0,N,334,39300
8,707,Y,1414,178000
5,1117,Y,1347,107500
7,880,Y,1724,188000
4,864,Y,864,111250
5,1051,Y,1159,158000
8,1581,Y,1601,272000
9,1838,Y,1838,315000
8,969,Y,2285,248000
7,1650,Y,1680,213250
7,723,Y,767,133000
7,654,Y,1496,179665
7,1204,Y,2183,229000
6,1065,Y,1635,210000
5,768,Y,768,129500
5,825,Y,825,125000
7,912,Y,2094,263000
6,1069,Y,1069,140000
5,928,Y,928,112500
8,1709,Y,1717,255500
4,0,Y,1126,108000
7,998,Y,2046,284000
5,993,Y,1048,113000
5,1092,Y,1092,141000
4,637,Y,1336,108000
7,729,Y,1446,175000
7,1374,Y,1557,234000
5,1392,Y,1392,121500
5,1389,Y,1389,170000
5,996,Y,996,108000
6,1163,Y,1674,185000
7,1095,Y,2295,268000
6,806,N,1647,128000
9,1122,Y,2504,325000
7,1517,Y,1535,214000
8,1496,Y,2132,316600
5,943,Y,943,135960
5,1728,Y,1728,142600
6,864,Y,864,120000
7,846,Y,1692,224500
7,384,Y,1430,170000
5,372,Y,1109,139000
5,832,Y,1216,118500
7,861,Y,1477,145000
5,1164,Y,1320,164500
7,689,Y,1392,146000
5,1050,N,1795,131500
6,1144,Y,1429,181900
8,2042,Y,2042,253293
6,816,Y,816,118500
10,1237,Y,2775,325000
4,884,Y,1573,133000
8,1868,Y,2028,369900
6,816,Y,838,130000
5,840,Y,860,137000
5,1437,Y,1473,143000
5,742,Y,935,79500
7,770,Y,1582,185900
10,1722,Y,2296,451950
5,816,Y,816,138000
6,848,Y,848,140000
5,924,Y,924,110000
8,1814,Y,1826,319000
6,684,N,1368,114504
7,1258,Y,1402,194201
5,1430,Y,1647,217500
6,716,Y,1556,151000
8,1058,Y,1904,275000
6,780,Y,1375,141000
8,908,Y,1915,220000
7,600,Y,1200,151000
7,1494,Y,1494,221000
7,768,Y,1986,205000
5,1040,Y,1040,152000
5,896,Y,2008,225000
8,965,Y,3194,359100
4,1029,Y,1029,118500
9,1440,Y,2153,313000
6,1032,Y,1032,148000
8,1299,Y,1872,261500
5,1120,Y,1120,147000
4,630,Y,630,75500
6,936,Y,1054,137500
6,783,Y,1509,183200
6,832,Y,832,105500
9,1822,Y,1828,314813
8,1482,Y,2262,305000
3,864,N,864,67000
6,1522,Y,2614,240000
5,980,Y,980,135000
6,756,Y,1512,168500
6,732,Y,1790,165150
6,1116,Y,1116,160000
5,978,Y,1422,139900
6,1156,Y,1520,153000
5,1040,Y,2080,135000
6,1248,Y,1350,168500
5,636,Y,1750,124000
8,1554,Y,1554,209500
7,1386,Y,1411,82500
5,1056,Y,1056,139400
6,1056,Y,1056,144000
6,1440,Y,3395,200000
2,264,N,800,60000
5,811,Y,1387,93000
5,796,Y,796,85000
8,1520,Y,1567,264561
8,1518,Y,1518,274000
7,1057,Y,1929,226000
8,1952,Y,2704,345000
5,780,Y,1620,152000
9,1766,Y,1766,370878
6,981,Y,981,143250
5,0,Y,1048,98300
6,1094,Y,1094,155000
6,756,Y,1839,155000
4,630,Y,630,84500
7,813,Y,1665,205950
4,755,Y,1510,108000
7,880,Y,1716,191000
6,756,Y,1469,135000
8,2109,Y,2113,350000
6,525,Y,1092,88000
5,1053,Y,1053,145500
7,776,Y,1502,149000
6,912,Y,1458,97500
5,1486,Y,1486,167000
7,793,Y,1935,197900
8,1629,Y,2448,402000
6,1392,Y,1392,110000
4,1138,Y,1181,137500
8,2077,Y,2097,423000
8,1406,Y,1936,230500
6,1021,Y,2380,129000
6,1408,Y,1679,193500
5,1188,Y,1437,168000
4,700,Y,1180,137500
6,738,Y,1476,173500
6,672,N,1369,103600
6,1208,Y,1208,165000
6,1477,Y,1839,257500
6,1136,Y,1136,140000
6,855,Y,1441,148500
4,1095,N,1774,87000
5,768,Y,792,109500
8,2046,Y,2046,372500
5,988,Y,988,128500
6,923,Y,923,143000
5,793,Y,1520,159434
6,1291,Y,1291,173000
9,1626,Y,1668,285000
7,1195,Y,1839,221000
7,1190,Y,2090,207500
7,874,Y,1761,227875
7,551,Y,1102,148800
8,1419,Y,1419,392000
6,1362,Y,1362,194700
6,848,Y,848,141000
10,2444,Y,4316,755000
7,1210,Y,2519,335000
5,1073,Y,1073,108480
5,927,Y,1539,141500
6,1112,Y,1137,176000
5,616,Y,616,89000
5,980,Y,1148,123500
5,894,Y,894,138500
7,1391,Y,1391,196000
8,1800,Y,1800,312500
7,1164,Y,1164,140000
8,1234,Y,2576,361919
5,360,Y,1812,140000
7,1473,Y,1484,213000
4,0,N,1092,55000
7,1643,Y,1824,302000
8,1324,Y,1324,254000
7,728,Y,1456,179540
5,876,Y,904,109900
3,270,Y,729,52000
4,859,Y,1178,102776
8,1228,Y,1228,189000
4,960,N,960,129000
6,725,Y,1479,130500
6,1064,Y,1350,165000
7,718,Y,2554,159500
5,1176,Y,1178,157000
7,1311,Y,2418,341000
5,971,Y,971,128500
8,1742,Y,1742,275000
6,848,Y,848,143000
4,864,Y,864,124500
4,941,Y,1470,135000
9,1698,Y,1698,320000
4,864,Y,864,120500
6,880,Y,1680,222000
7,1232,Y,1232,194500
5,1584,Y,1776,110000
4,780,Y,1208,103000
8,1595,Y,1616,236500
7,868,Y,1146,187500
7,1153,Y,2031,222500
5,864,Y,1144,131400
5,948,Y,948,108000
7,880,N,1768,163000
3,0,N,1040,93500
8,893,Y,1801,239900
5,1200,Y,1200,179000
7,864,Y,1728,190000
5,264,Y,1432,132000
6,912,Y,912,142000
7,1349,Y,1349,179000
5,520,Y,1464,175000
8,1337,Y,1337,180000
8,1142,Y,2715,299800
7,952,Y,2256,236000
7,1240,N,2640,265979
7,1720,Y,1720,260400
4,0,N,1529,98000
4,576,Y,1140,96500
7,660,Y,1320,162000
6,1479,Y,1494,217000
8,1030,Y,2098,275500
6,1026,Y,1026,156000
6,729,Y,1471,172500
8,866,Y,1768,212000
6,672,Y,1386,158900
7,744,Y,1501,179400
8,1318,Y,2531,290000
6,864,Y,864,127500
5,1145,Y,1301,100000
7,756,Y,1547,215200
8,1252,Y,2365,337000
8,1494,Y,1494,270000
9,1498,Y,1506,264132
7,980,Y,1714,196500
6,983,Y,1750,160000
7,1860,Y,1836,216837
8,1650,Y,3279,538000
5,858,Y,858,134900
4,836,Y,1220,102000
6,1029,Y,1117,107000
5,912,Y,912,114500
8,1935,Y,1973,395000
6,1204,Y,1204,162000
7,1614,Y,1614,221500
5,864,Y,894,142500
5,0,Y,2020,144000
6,975,Y,1004,135000
7,1237,Y,1253,176000
6,761,Y,1603,175900
7,1413,Y,1430,187100
5,1097,Y,1110,165500
6,742,Y,1484,128000
6,1372,Y,1342,161500
5,686,Y,1652,139000
7,956,Y,2084,233000
4,901,Y,901,107900
6,832,Y,2087,187500
7,1145,Y,1145,160200
6,1029,Y,1062,146800
7,1117,Y,2013,269790
8,1496,Y,1496,225000
7,712,Y,1895,194500
6,650,Y,1564,171000
6,660,Y,1285,143500
5,773,Y,773,110000
9,1926,Y,3140,485000
5,731,Y,1768,175000
6,616,Y,1688,200000
4,1196,Y,1196,109900
7,728,Y,1456,189000
9,1734,Y,2822,582933
5,936,Y,1128,118000
7,1417,Y,1428,227680
5,980,Y,980,135500
5,1324,Y,1576,223500
5,1024,Y,1086,159950
5,849,N,2138,106000
6,1040,Y,1309,181000
6,848,Y,848,144500
5,540,N,1044,55993
6,1442,Y,1442,157900
5,686,Y,1250,116000
7,1649,Y,1661,224900
5,1008,Y,1008,137000
8,1568,Y,1689,271000
6,1010,Y,1052,155000
7,1358,Y,1358,224000
7,798,Y,1640,183000
4,936,N,936,93000
7,847,Y,1733,225000
6,778,Y,1489,139500
8,1489,Y,1489,232600
10,2078,Y,2084,385000
5,784,Y,784,109500
7,1454,Y,1434,189000
5,1013,Y,2126,185000
7,600,Y,1223,147400
6,1392,Y,1392,166000
7,600,Y,1200,151000
7,941,Y,1829,237000
6,1516,Y,1516,167000
5,1144,Y,1144,139950
4,1067,Y,1067,128000
5,1559,Y,1559,153500
6,483,Y,987,100000
5,1099,Y,1099,144000
5,768,Y,1200,130500
6,672,N,1482,140000
5,650,Y,1539,157500
6,1127,Y,1165,174900
5,1800,N,1800,141000
5,876,Y,1416,153900
5,1390,Y,1701,171000
7,740,Y,1775,213000
5,864,Y,864,133500
6,907,Y,2358,240000
6,528,Y,1855,187000
6,848,Y,848,131500
8,1273,Y,1456,215000
7,918,Y,1646,164000
6,1127,Y,1445,158000
5,1763,Y,1779,170000
5,1040,Y,1040,127000
6,940,Y,1026,147000
6,702,Y,1481,174000
7,1090,Y,1370,152000
6,1054,Y,2654,250000
7,912,Y,1426,189950
5,1039,Y,1039,131500
6,1040,Y,1097,152000
5,1148,Y,1148,132500
7,1372,Y,1372,250580
5,1002,Y,1002,148500
8,1638,Y,1646,248900
4,1040,Y,1120,129000
5,0,Y,2320,169000
7,1050,Y,1949,236000
5,894,N,894,109500
6,804,Y,1682,200500
5,105,Y,910,116000
5,832,Y,1268,133000
5,676,Y,1131,66500
8,1184,Y,2610,303477
4,1064,Y,1040,132250
9,1462,Y,2224,350000
5,1109,Y,1155,148000
5,864,Y,864,136500
5,1090,Y,1090,157000
7,1156,Y,1717,187500
6,808,Y,1593,178000
4,795,N,2230,118500
5,892,Y,892,100000
9,1698,Y,1709,328900
5,1626,Y,1712,145000
5,816,Y,1393,135500
8,2217,Y,2217,268000
6,1505,Y,1505,149500
5,672,Y,924,122900
6,918,Y,1683,172500
6,1059,Y,1068,154500
5,1383,Y,1383,165000
5,0,Y,1535,118858
6,780,Y,1796,140000
4,951,N,951,106500
5,0,Y,2240,142953
9,2330,Y,2364,611657
5,912,Y,1236,135000
4,858,Y,858,110000
5,992,Y,1306,153000
7,783,Y,1509,180000
7,1670,Y,1670,240000
5,876,Y,902,125500
5,1056,Y,1063,128000
8,1623,Y,1636,255000
7,1017,Y,2057,250000
5,864,Y,902,131000
6,742,Y,1484,174000
5,1105,Y,2274,154300
5,1268,Y,1268,143500
5,768,N,1015,88000
5,1001,N,2002,145000
6,612,Y,1224,173733
4,546,Y,1092,75000
2,480,N,480,35311
4,1134,Y,1229,135000
7,1104,Y,2127,238000
6,1184,Y,1414,176500
6,928,Y,1721,201000
5,1272,Y,2200,145900
6,1316,Y,1316,169990
6,1604,Y,1617,193000
6,1686,Y,1686,207500
5,1126,Y,1126,175000
8,1181,Y,2374,285000
7,832,Y,1978,176000
8,1753,Y,1788,236500
7,964,Y,2236,222000
8,1466,Y,1466,201000
5,925,Y,925,117500
9,1905,Y,1905,320000
7,1500,Y,1500,190000
7,585,Y,2069,242000
4,600,Y,747,79900
7,1176,Y,1200,184900
7,1113,Y,1971,253000
7,1391,Y,1962,239799
7,1032,Y,2403,244400
6,1728,Y,1728,150900
7,992,Y,2060,214000
4,1440,Y,1440,150000
5,1632,Y,1632,143000
6,819,Y,1344,137500
5,1088,Y,1869,124900
5,1144,Y,1144,143000
8,1616,Y,1629,270000
7,936,Y,1776,192500
6,1161,Y,1381,197500
5,864,Y,864,129000
5,828,Y,965,119900
5,768,Y,768,133900
5,784,Y,1968,172000
6,945,Y,980,127500
6,979,N,1958,145000
6,561,Y,1229,124000
5,1057,Y,1057,132000
7,1337,Y,1337,185000
7,696,Y,1416,155000
5,858,Y,858,116500
6,1330,Y,2872,272000
6,804,Y,1548,155000
9,1800,Y,1800,239000
7,817,Y,1894,214900
6,783,Y,1484,178900
5,728,Y,1308,160000
5,1098,Y,1098,135000
3,600,N,968,37900
6,588,Y,1095,140000
4,720,N,1192,135000
7,764,Y,1626,173000
6,918,Y,918,99500
7,1428,Y,1428,182000
7,728,N,2019,167500
7,673,Y,1382,165000
4,440,Y,869,85500
7,1241,Y,1241,199900
4,894,Y,894,110000
5,1121,Y,1121,139000
7,944,Y,999,178400
8,1225,Y,2612,336000
7,1266,Y,1266,159895
8,1128,Y,2290,255900
5,0,Y,1734,126000
5,1164,N,1164,125000
6,485,Y,1635,117000
9,1930,Y,1940,395192
6,848,Y,2030,195000
7,770,Y,1576,197000
8,1396,Y,2392,348000
8,916,Y,1742,168000
6,822,Y,1851,187000
6,750,Y,1500,173900
10,1700,Y,1718,337500
4,747,Y,1230,121600
5,1050,Y,1050,136500
6,1442,Y,1442,185000
3,1007,N,1077,91000
7,1187,Y,1208,206000
3,0,N,944,82000
5,691,Y,691,86000
8,1574,Y,1574,232000
5,1680,Y,1680,136905
7,1346,Y,1504,181000
5,985,Y,985,149900
6,1657,Y,1657,163500
4,546,Y,1092,88000
7,1710,Y,1710,240000
5,1008,Y,1522,102000
5,720,Y,1271,135000
5,0,N,1664,100000
6,602,Y,1502,165000
5,1022,N,1022,85000
6,1082,Y,1082,119200
8,810,Y,1665,227000
7,1504,Y,1504,203000
8,1220,Y,1360,187500
7,384,Y,1472,160000
7,1362,Y,1506,213490
4,1132,Y,1132,176000
7,1199,Y,1220,194000
5,912,Y,1248,87000
7,1346,Y,1504,191000
8,1565,Y,2898,287000
5,882,Y,882,112500
5,1268,Y,1264,167500
8,1638,Y,1646,293077
5,768,Y,1376,105000
6,672,Y,1218,118000
5,686,Y,1928,160000
7,824,Y,3082,197000
8,1338,Y,2520,310000
7,1654,Y,1654,230000
5,920,Y,954,119750
4,0,N,845,84000
9,1620,Y,1620,315500
8,1055,Y,2263,287000
4,546,Y,1344,97000
4,630,Y,630,80000
5,1134,Y,1803,155000
6,800,Y,1632,173000
6,1306,Y,1306,196000
7,1475,Y,2329,262280
8,2524,Y,2524,278000
3,0,Y,1733,139600
9,1992,Y,2868,556581
5,990,Y,990,145000
